name,ra,dec,tags,type,duration
MSGPS_S_0061,10:10:28.85,-55:57:21.85,['target'],track,1257
MSGPS_S_0103,10:15:18.5,-57:01:21.42,['target'],track,1257
MSGPS_S_0204,10:33:39.42,-57:58:56.34,['target'],track,1257
MSGPS_S_0283,10:48:57.23,-58:30:37.13,['target'],track,1257
MSGPS_S_0395,11:10:52.32,-59:15:25.88,['target'],track,1257
MSGPS_S_0487,11:24:28.64,-61:45:42.61,['target'],track,1257
MSGPS_S_0587,11:47:29.31,-62:18:41.99,['target'],track,1257
MSGPS_S_0687,12:08:41.25,-62:34:14.81,['target'],track,1257
MSGPS_S_0797,12:33:43.12,-62:54:32.01,['target'],track,1257
MSGPS_S_0870,12:51:28.31,-63:58:39.55,['target'],track,1257
MSGPS_S_0936,13:07:13.86,-63:55:28,['target'],track,1257
MSGPS_S_1049,13:33:22.04,-62:50:22.69,['target'],track,1257
MSGPS_S_1189,14:05:36.86,-62:45:57.53,['target'],track,1257
MSGPS_S_1386,14:48:42.87,-61:04:01.39,['target'],track,1257
MSGPS_S_1595,15:26:25.37,-58:19:51.04,['target'],track,1257
MSGPS_S_1826,16:01:17.12,-54:38:25.14,['target'],track,1257
MSGPS_S_2013,16:24:58.94,-51:16:25.43,['target'],track,1257
MSGPS_S_0062,10:10:39.75,-55:40:07.33,['target'],track,1257
MSGPS_S_0063,10:12:30.72,-55:32:46.18,['target'],track,1257
MSGPS_S_0064,10:12:40.63,-55:15:31.04,['target'],track,1257
MSGPS_S_0065,10:14:30.07,-55:08:03.1,['target'],track,1257
MSGPS_S_0104,10:15:27.5,-56:44:05.46,['target'],track,1257
MSGPS_S_0205,10:33:39.93,-57:41:37.76,['target'],track,1257
MSGPS_S_0284,10:48:50.26,-58:13:20.01,['target'],track,1257
MSGPS_S_0396,11:05:09.57,-61:40:18.76,['target'],track,1257
MSGPS_S_0488,11:26:18.82,-61:34:21.87,['target'],track,1257
MSGPS_S_0588,11:46:49.08,-62:02:02.33,['target'],track,1257
MSGPS_S_0688,12:10:16.14,-62:20:51.39,['target'],track,1257
MSGPS_S_0798,12:35:07.33,-62:40:08.81,['target'],track,1257
MSGPS_S_0871,12:52:46.49,-63:43:38.72,['target'],track,1257
MSGPS_S_0937,13:08:23.47,-63:39:57.38,['target'],track,1257
MSGPS_S_1056,13:37:24.52,-63:46:32.26,['target'],track,1257
MSGPS_S_1190,14:06:11.98,-62:29:07.62,['target'],track,1257
MSGPS_S_1387,14:46:45.06,-60:54:15.03,['target'],track,1257
MSGPS_S_1596,15:24:27.41,-58:12:10.04,['target'],track,1257
MSGPS_S_1827,15:59:24.27,-54:32:43.53,['target'],track,1257
MSGPS_S_2014,16:23:11.91,-51:12:04.17,['target'],track,1257
MSGPS_S_0066,10:05:50.51,-57:20:35.51,['target'],track,1257
MSGPS_S_0067,10:06:03.97,-57:03:22.75,['target'],track,1257
MSGPS_S_0068,10:07:59.93,-56:56:17.19,['target'],track,1257
MSGPS_S_0069,10:08:12.25,-56:39:03.56,['target'],track,1257
MSGPS_S_0105,10:17:20.63,-56:36:27.89,['target'],track,1257
MSGPS_S_0206,10:35:31.94,-57:32:58.86,['target'],track,1257
MSGPS_S_0285,10:50:40.01,-58:03:51.12,['target'],track,1257
MSGPS_S_0397,11:04:53.13,-61:23:06.91,['target'],track,1257
MSGPS_S_0489,11:25:50.94,-61:17:22.71,['target'],track,1257
MSGPS_S_0589,11:48:31.58,-61:49:37.09,['target'],track,1257
MSGPS_S_0693,12:10:41.43,-63:52:24.42,['target'],track,1257
MSGPS_S_0803,12:36:53.66,-64:10:58.04,['target'],track,1257
MSGPS_S_0872,12:51:28.27,-63:28:40.65,['target'],track,1257
MSGPS_S_0938,13:06:57.43,-63:25:32.43,['target'],track,1257
MSGPS_S_1057,13:35:44.14,-63:33:16.99,['target'],track,1257
MSGPS_S_1191,14:04:23.86,-62:17:11.03,['target'],track,1257
MSGPS_S_1388,14:46:56.32,-60:36:59.76,['target'],track,1257
MSGPS_S_1597,15:24:19.57,-57:54:53.35,['target'],track,1257
MSGPS_S_1828,15:59:02.43,-54:15:42.61,['target'],track,1257
MSGPS_S_2015,16:22:42.99,-50:55:22.04,['target'],track,1257
MSGPS_S_0070,10:10:06.56,-56:31:50.71,['target'],track,1257
MSGPS_S_0071,10:10:17.79,-56:14:36.31,['target'],track,1257
MSGPS_S_0072,10:12:10.48,-56:07:16.34,['target'],track,1257
MSGPS_S_0073,10:12:20.68,-55:50:01.28,['target'],track,1257
MSGPS_S_0106,10:17:28.61,-56:19:11.41,['target'],track,1257
MSGPS_S_0207,10:35:31.56,-57:15:40.29,['target'],track,1257
MSGPS_S_0286,10:43:41.76,-60:24:58.6,['target'],track,1257
MSGPS_S_0398,11:06:48.73,-61:12:46.36,['target'],track,1257
MSGPS_S_0490,11:27:38.98,-61:05:57.92,['target'],track,1257
MSGPS_S_0590,11:47:51.42,-61:32:58.56,['target'],track,1257
MSGPS_S_0694,12:09:45.78,-63:36:13.79,['target'],track,1257
MSGPS_S_0804,12:35:42.74,-63:55:29.64,['target'],track,1257
MSGPS_S_0873,12:52:45.11,-63:13:39.84,['target'],track,1257
MSGPS_S_0939,13:08:05.99,-63:10:02.31,['target'],track,1257
MSGPS_S_1058,13:36:37.2,-63:17:01.4,['target'],track,1257
MSGPS_S_1192,14:04:59.11,-62:00:22.25,['target'],track,1257
MSGPS_S_1389,14:45:00.68,-60:27:07.71,['target'],track,1257
MSGPS_S_1598,15:22:23.42,-57:47:05.23,['target'],track,1257
MSGPS_S_1829,15:57:10.93,-54:09:53.29,['target'],track,1257
MSGPS_S_2016,16:20:56.98,-50:50:53.14,['target'],track,1257
MSGPS_S_0074,10:14:11.79,-55:42:34.39,['target'],track,1257
MSGPS_S_0075,10:14:20.99,-55:25:18.76,['target'],track,1257
MSGPS_S_0076,10:16:10.56,-55:17:45.12,['target'],track,1257
MSGPS_S_0077,10:07:34.68,-57:30:44.15,['target'],track,1257
MSGPS_S_0107,10:19:20.11,-56:11:27.05,['target'],track,1257
MSGPS_S_0208,10:37:21.8,-57:06:55.26,['target'],track,1257
MSGPS_S_0287,10:43:37.14,-60:07:40.63,['target'],track,1257
MSGPS_S_0399,11:06:31.62,-60:55:35.23,['target'],track,1257
MSGPS_S_0491,11:27:10.8,-60:48:59.8,['target'],track,1257
MSGPS_S_0591,11:49:31.9,-61:20:30.49,['target'],track,1257
MSGPS_S_0695,12:11:23.57,-63:22:47.57,['target'],track,1257
MSGPS_S_0805,12:37:08.93,-63:41:01.96,['target'],track,1257
MSGPS_S_0874,12:51:28.24,-62:58:41.75,['target'],track,1257
MSGPS_S_0940,13:06:41.56,-62:55:36.74,['target'],track,1257
MSGPS_S_1059,13:34:58.88,-63:03:44.13,['target'],track,1257
MSGPS_S_1199,14:09:52.56,-62:52:44.93,['target'],track,1257
MSGPS_S_1390,14:45:12.71,-60:09:52.98,['target'],track,1257
MSGPS_S_1599,15:22:16.66,-57:29:48.06,['target'],track,1257
MSGPS_S_1830,15:56:50.21,-53:52:50.88,['target'],track,1257
