Pointing,Gl,Gb,RA,Dec
MMGPS_U_0889,-36.05258631428336,3.4237696955808605,15:18:44.87,-53:19:43.27
MMGPS_U_0890,-35.6272188768126,4.160527709165603,15:18:31.0,-52:28:44.87
MMGPS_U_0891,-36.05258631428336,4.897285722750345,15:13:37.38,-52:04:34.38
MMGPS_U_0892,-35.6272188768126,5.634043736335087,15:13:29.37,-51:13:35.87
MMGPS_U_0893,-36.05258631428336,6.370801749919828,15:08:46.75,-50:48:38.23
MMGPS_U_0894,-35.6272188768126,7.107559763504572,15:08:43.8,-49:57:40.99
MMGPS_U_0895,-36.05258631428336,7.844317777089312,15:04:11.53,-49:31:59.34
MMGPS_U_0896,-35.6272188768126,8.581075790674056,15:04:12.92,-48:41:4.55
MMGPS_U_0897,-36.05258631428336,9.317833804258797,14:59:50.39,-48:14:41.74
MMGPS_U_0898,-35.6272188768126,10.054591817843537,14:59:55.49,-47:23:50.39
MMGPS_U_0899,-34.77648400187106,-10.574632562529235,16:35:28.71,-63:16:27.68
MMGPS_U_0900,-35.20185143934182,-9.837874548944493,16:28:8.64,-63:05:25.99
MMGPS_U_0901,-34.77648400187106,-9.10111653535975,16:25:57.89,-62:16:49.4
MMGPS_U_0902,-35.20185143934182,-8.36435852177501,16:18:55.62,-62:04:4.68
MMGPS_U_0903,-34.77648400187106,-7.627600508190268,16:17:4.22,-61:14:54.22
MMGPS_U_0904,-35.20185143934182,-6.890842494605526,16:10:19.23,-61:00:34.39
MMGPS_U_0905,-34.77648400187106,-6.154084481020783,16:08:45.01,-60:10:56.44
MMGPS_U_0906,-35.20185143934182,-5.417326467436042,16:02:16.64,-59:55:8.81
MMGPS_U_0907,-34.77648400187106,-4.6805684538513,16:00:57.63,-59:05:8.82
MMGPS_U_0908,-35.20185143934182,-3.9438104402665575,15:54:45.14,-58:48:0.11
MMGPS_U_0909,-34.77648400187106,-3.207052426681816,15:53:39.55,-57:57:42.72
MMGPS_U_0910,-35.20185143934182,-2.470294413097074,15:47:42.16,-57:39:19.08
MMGPS_U_0911,-34.77648400187106,-1.7335363995123316,15:46:48.38,-56:48:48.24
MMGPS_U_0912,-35.20185143934182,-0.9967783859275894,15:41:5.32,-56:29:15.27
MMGPS_U_0913,-34.77648400187106,-0.2600203723428489,15:40:21.89,-55:38:34.34
MMGPS_U_0914,-35.20185143934182,0.47673764124189333,15:34:52.37,-55:17:57.12
MMGPS_U_0915,-34.77648400187106,1.2134956548266356,15:34:18.01,-54:27:8.95
MMGPS_U_0916,-35.20185143934182,1.9502536684113778,15:29:1.28,-54:05:32.11
MMGPS_U_0917,-34.77648400187106,2.68701168199612,15:28:34.85,-53:14:39.11
MMGPS_U_0918,-35.20185143934182,3.4237696955808605,15:23:30.17,-52:52:6.85
MMGPS_U_0919,-34.77648400187106,4.160527709165603,15:23:10.66,-52:01:11.09
MMGPS_U_0920,-35.20185143934182,4.897285722750345,15:18:17.35,-51:37:47.21
MMGPS_U_0921,-34.77648400187106,5.634043736335087,15:18:3.84,-50:46:50.43
MMGPS_U_0922,-35.20185143934182,6.370801749919828,15:13:21.24,-50:22:38.39
MMGPS_U_0923,-34.77648400187106,7.107559763504572,15:13:12.95,-49:31:42.08
MMGPS_U_0924,-35.20185143934182,7.844317777089312,15:08:40.44,-49:06:45.02
MMGPS_U_0925,-34.77648400187106,8.581075790674056,15:08:36.66,-48:15:50.43
